"RISM","WikiData"
"https://rism.online/people/139","Q506097"
"https://rism.online/people/222","Q168539"
"https://rism.online/people/298","Q354921"
"https://rism.online/people/344","Q1361075"
"https://rism.online/people/506","Q154792"
"https://rism.online/people/532","Q174178"
"https://rism.online/people/618","Q98397"
"https://rism.online/people/725","Q105237"
"https://rism.online/people/747","Q68402"
"https://rism.online/people/944","Q2508227"
"https://rism.online/people/1013","Q215439"
"https://rism.online/people/1028","Q200392"
"https://rism.online/people/1044","Q78246"
"https://rism.online/people/1061","Q314164"
"https://rism.online/people/1081","Q77732"
"https://rism.online/people/1122","Q86666"
"https://rism.online/people/1144","Q77285"
"https://rism.online/people/1208","Q15794196"
"https://rism.online/people/1262","Q55843376"
"https://rism.online/people/1280","Q19225224"
"https://rism.online/people/1347","Q62304"
"https://rism.online/people/1463","Q193236"
"https://rism.online/people/1477","Q70516"
"https://rism.online/people/1494","Q76485"
"https://rism.online/people/1578","Q533022"
"https://rism.online/people/1886","Q286294"
"https://rism.online/people/1904","Q179277"
"https://rism.online/people/2386","Q6286057"
"https://rism.online/people/2388","Q92158"
"https://rism.online/people/2389","Q107277"
"https://rism.online/people/2417","Q713985"
"https://rism.online/people/2539","Q1339"
"https://rism.online/people/2569","Q1730382"
"https://rism.online/people/2671","Q311409"
"https://rism.online/people/2880","Q15063269"
"https://rism.online/people/3126","Q1714827"
"https://rism.online/people/3160","Q1036669"
"https://rism.online/people/3310","Q5898008"
"https://rism.online/people/3316","Q19754058"
"https://rism.online/people/3324","Q642243"
"https://rism.online/people/3553","Q445071"
"https://rism.online/people/3569","Q5617585"
"https://rism.online/people/3592","Q90187"
"https://rism.online/people/3661","Q608455"
"https://rism.online/people/3757","Q66037"
"https://rism.online/people/3761","Q4085025"
"https://rism.online/people/3813","Q951933"
"https://rism.online/people/3998","Q215945"
"https://rism.online/people/4127","Q512197"
"https://rism.online/people/4338","Q4700"
"https://rism.online/people/4437","Q90485"
"https://rism.online/people/4486","Q70830"
"https://rism.online/people/4535","Q698618"
"https://rism.online/people/4542","Q90900"
"https://rism.online/people/4907","Q668754"
"https://rism.online/people/5222","Q1353534"
"https://rism.online/people/5263","Q1359700"
"https://rism.online/people/5278","Q548181"
"https://rism.online/people/5292","Q1236051"
"https://rism.online/people/5497","Q154895"
"https://rism.online/people/5545","Q76590"
"https://rism.online/people/5782","Q42529772"
"https://rism.online/people/5783","Q67025"
"https://rism.online/people/5920","Q4210029"
"https://rism.online/people/6345","Q94869621"
"https://rism.online/people/6448","Q1555624"
"https://rism.online/people/6536","Q2172534"
"https://rism.online/people/6919","Q1504962"
"https://rism.online/people/7029","Q487488"
"https://rism.online/people/7201","Q20003331"
"https://rism.online/people/7527","Q61818658"
"https://rism.online/people/7637","Q83326"
"https://rism.online/people/7848","Q11923021"
"https://rism.online/people/7970","Q82659"
"https://rism.online/people/8277","Q18655109"
"https://rism.online/people/8314","Q16559708"
"https://rism.online/people/8402","Q269694"
"https://rism.online/people/8457","Q2302893"
"https://rism.online/people/8569","Q213613"
"https://rism.online/people/8701","Q121195"
"https://rism.online/people/8769","Q2572352"
"https://rism.online/people/8897","Q78559"
"https://rism.online/people/9006","Q175880"
"https://rism.online/people/9115","Q1458354"
"https://rism.online/people/9551","Q37104289"
"https://rism.online/people/9596","Q94747601"
"https://rism.online/people/9700","Q160061"
"https://rism.online/people/9774","Q76216"
"https://rism.online/people/9835","Q668930"
"https://rism.online/people/9895","Q461296"
"https://rism.online/people/10156","Q1430558"
"https://rism.online/people/10292","Q84539"
"https://rism.online/people/10446","Q15452890"
"https://rism.online/people/10458","Q23061451"
"https://rism.online/people/10506","Q653591"
"https://rism.online/people/10515","Q29347596"
"https://rism.online/people/10626","Q69698"
"https://rism.online/people/10644","Q5568327"
"https://rism.online/people/10663","Q825891"
"https://rism.online/people/10868","Q882123"
"https://rism.online/people/10949","Q107287"
"https://rism.online/people/11035","Q255"
"https://rism.online/people/11306","Q19357448"
"https://rism.online/people/11317","Q20978891"
