metadata.tags.musicbrainz_recordingid,highlevel.danceability.value,highlevel.gender.value,highlevel.genre_dortmund.value,highlevel.genre_electronic.value,highlevel.genre_rosamerica.value,highlevel.genre_tzanetakis.value,highlevel.ismir04_rhythm.value,highlevel.mood_acoustic.value,highlevel.mood_aggressive.value,highlevel.mood_electronic.value,highlevel.mood_happy.value,highlevel.mood_party.value,highlevel.mood_relaxed.value,highlevel.mood_sad.value,highlevel.moods_mirex.value,highlevel.timbre.value,highlevel.tonal_atonal.value,highlevel.voice_instrumental.value,metadata.audio_properties.analysis_sample_rate,metadata.audio_properties.bit_rate,metadata.audio_properties.codec,metadata.audio_properties.downmix,metadata.audio_properties.equal_loudness,metadata.audio_properties.lossless,metadata.audio_properties.md5_encoded,metadata.tags.album,metadata.tags.file_name,metadata.tags.musicbrainz_albumartistid,metadata.tags.musicbrainz_albumid,metadata.tags.musicbrainz_artistid,metadata.tags.title,metadata.tags.tracknumber
https://musicbrainz.org/recording/000f2e79-8b9b-4076-a14e-dfe54fe86486,danceable,male,electronic,house,hip,jaz,ChaChaCha,not_acoustic,not_aggressive,electronic,not_happy,party,not_relaxed,not_sad,Cluster4,bright,atonal,voice,44100,319457,mp3,mix,0,0,5dbc086851546ac3a32ce7ee46eaf711,Is’n Schnabelding: Willkommen in Schnabylon,14 - Mr. Schnabel - Bounce zum Beat.mp3,https://musicbrainz.org/albumartist/31f41b03-000d-42f0-ad35-b52114652f78,https://musicbrainz.org/album/67c4fd9f-bd53-49d5-9fd4-cd7df12672eb,https://musicbrainz.org/artist/31f41b03-000d-42f0-ad35-b52114652f78,Bounce zum Beat,14/18
https://musicbrainz.org/recording/00051232-faa6-4d1b-811c-f51d8f692ee6,not_danceable,female,electronic,ambient,jaz,jaz,Tango,not_acoustic,not_aggressive,electronic,happy,not_party,relaxed,not_sad,Cluster5,dark,atonal,instrumental,44100,0,flac,mix,0,1,9834bc81abf8efb0d731481f8e679965,Garden of Silence,07 Cherry Blossom.flac,https://musicbrainz.org/albumartist/3aeec3d9-c2de-4c57-9be8-e580034cfe91,https://musicbrainz.org/album/f47eaf77-440a-4538-b630-500fa6a5756d,https://musicbrainz.org/artist/3aeec3d9-c2de-4c57-9be8-e580034cfe91,Cherry Blossom,7
https://musicbrainz.org/recording/000fae4c-4ce5-4bfc-9509-edd1c1f793a9,not_danceable,female,electronic,ambient,hip,jaz,ChaChaCha,not_acoustic,not_aggressive,electronic,not_happy,not_party,relaxed,not_sad,Cluster5,dark,atonal,instrumental,44100,192000,vorbis,mix,0,0,5081d3751178686fd5df98c887ff670a,Raising Hell,12 - Proud to Be Black.ogg,https://musicbrainz.org/albumartist/5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0,https://musicbrainz.org/album/32bbe496-88f3-4217-a2ec-7236a988f07b,https://musicbrainz.org/artist/5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0,Proud to Be Black,12
https://musicbrainz.org/recording/000bd757-4d66-405e-a586-ea490b2c97a6,danceable,female,electronic,trance,rhy,jaz,VienneseWaltz,acoustic,not_aggressive,electronic,not_happy,not_party,relaxed,not_sad,Cluster5,bright,atonal,instrumental,44100,0,flac,mix,0,1,f9336003412ebd00f94791f68b5f5f3f,Darkest Light: The Best of the Lafayette Afro Rock Band,09 There's Time to Change.flac,https://musicbrainz.org/albumartist/68b22fd5-038c-4b74-8ed0-ee93b13c1d9e,https://musicbrainz.org/album/8cd359f5-a23c-49c1-94c7-fe752c32473a,https://musicbrainz.org/artist/68b22fd5-038c-4b74-8ed0-ee93b13c1d9e,There's Time to Change,9
https://musicbrainz.org/recording/0002deca-e697-4cad-92db-7cb872a6e53c,danceable,female,electronic,trance,pop,jaz,VienneseWaltz,not_acoustic,not_aggressive,electronic,happy,not_party,relaxed,not_sad,Cluster3,bright,atonal,voice,44100,0,flac,mix,0,1,cc28f1cc3346b18a9de34147112f8794,チームS 3rd Stage「制服の芽」,08. 女の子の第六感.flac,https://musicbrainz.org/albumartist/ed8bb1d2-3a58-446c-8faa-456cf3002243,https://musicbrainz.org/album/34f71e6f-6b88-4e0c-8993-2192ea1beecb,https://musicbrainz.org/artist/adba5b18-d930-4ea0-b17d-a2de301a740c,女の子の第六感,8
https://musicbrainz.org/recording/00051232-faa6-4d1b-811c-f51d8f692ee6,not_danceable,female,electronic,ambient,jaz,jaz,Tango,not_acoustic,not_aggressive,electronic,happy,not_party,relaxed,not_sad,Cluster5,dark,atonal,instrumental,44100,0,flac,mix,0,1,d0ca3ebaf0831dd437cda7ff14490cba,Garden of Silence,07. Deva Yoko - Cherry Blossom.flac,https://musicbrainz.org/albumartist/3aeec3d9-c2de-4c57-9be8-e580034cfe91,https://musicbrainz.org/album/f47eaf77-440a-4538-b630-500fa6a5756d,https://musicbrainz.org/artist/3aeec3d9-c2de-4c57-9be8-e580034cfe91,Cherry Blossom,7
https://musicbrainz.org/recording/000b104a-8aba-4cee-ac42-4196f4e8102d,not_danceable,female,electronic,ambient,pop,jaz,ChaChaCha,not_acoustic,not_aggressive,electronic,not_happy,not_party,relaxed,not_sad,Cluster5,dark,atonal,instrumental,44100,256000,mp3,mix,0,0,23b2653b5a1f68b83ce5b3e3725a8b70,Dial-A-Song: 20 Years of They Might Be Giants,1-22 They'll Need a Crane.mp3,https://musicbrainz.org/albumartist/183d6ef6-e161-47ff-9085-063c8b897e97,https://musicbrainz.org/album/62702940-decd-439a-a251-2c14ec100c30,https://musicbrainz.org/artist/183d6ef6-e161-47ff-9085-063c8b897e97,They'll Need a Crane,22/26
https://musicbrainz.org/recording/00039b03-0af0-489e-a34a-c4fc7a64aa0e,not_danceable,female,electronic,ambient,pop,jaz,VienneseWaltz,acoustic,not_aggressive,electronic,happy,not_party,relaxed,sad,Cluster3,dark,tonal,instrumental,44100,0,flac,mix,0,1,bf714076c779cca98fef0b25063b69ce,disillusion,04 - タイナカサチ - 忘れかけていたのかな (instrumental).flac,https://musicbrainz.org/albumartist/39bd50bc-abcd-44da-be59-c10cc8c81afd,https://musicbrainz.org/album/59da4872-3aa2-425b-bf98-d88fe3b7e542,https://musicbrainz.org/artist/39bd50bc-abcd-44da-be59-c10cc8c81afd,忘れかけていたのかな (instrumental),4
https://musicbrainz.org/recording/0006d2ac-35ce-4080-bd6f-2b4f32bbd089,not_danceable,female,electronic,ambient,pop,jaz,Rumba-American,not_acoustic,not_aggressive,electronic,not_happy,not_party,relaxed,not_sad,Cluster5,dark,atonal,instrumental,44100,199310,aac,mix,0,0,71a372a9f7f7c79e482d3e0eef2bb09d,Mister Pop,05 Back in the Day.m4a,https://musicbrainz.org/albumartist/d10c7c90-54b1-4855-a9f5-1099a8dd7f54,https://musicbrainz.org/album/eefa7ced-6fed-4c75-9eb6-6ba0eb3a60eb,https://musicbrainz.org/artist/d10c7c90-54b1-4855-a9f5-1099a8dd7f54,Back in the Day,5/10
https://musicbrainz.org/recording/0006e69e-6657-489d-9f34-e21fafbc1dd0,not_danceable,female,electronic,ambient,cla,jaz,VienneseWaltz,acoustic,not_aggressive,not_electronic,not_happy,not_party,relaxed,sad,Cluster5,bright,tonal,voice,44100,0,flac,mix,0,1,a85ec60377612195791974aff13cf711,Shadowboxer,03 - Never Is a Promise.flac,https://musicbrainz.org/albumartist/a9ee533f-8871-4f62-a6bb-91eb264abc90,https://musicbrainz.org/album/e3f16b0e-ec6d-44a1-81b3-b55298732cd0,https://musicbrainz.org/artist/a9ee533f-8871-4f62-a6bb-91eb264abc90,Never Is a Promise,3
