Genre	Description
A	Antiphon
AV	Antiphon verse
Ag	Agnus dei
Al	Alleluia
AlV	Alleluia verse
BD	Benedicamus domino
BDTp	Benedicamus Domino trope
Ca	Canticle
CaV	Canticle verse
Cap	Capitulum
Cm	Communion
CmR	Versus ad repetendum for the communion
CmV	Communion verse
Cn	Cantio
CnV	Cantio Verse
Co	Collect
Cr	Credo
D	Dramatic element
Gl	Gloria
Gr	Gradual
GrV	Gradual verse
H	Hymn
HV	Hymn verse
I	Invitatory antiphon
IP	Invitatory psalm
Ig	Ingressa
In	Introit
InR	Versus ad repetendum for the introit
InV	Introit verse
Ite	Ite missa est
Ky	Kyrie
L	Lesson
Li	Litany
LiV	Litany verse
Of	Offertory
OfV	Offertory verse
Or	Oratio / Prayer
PRCS	Preces
PRCSV	Verse for the Preces
PS	Psalm
Pc	Postcommunion
Pn	Pater noster
Pr	Prefatio
Psa	Prosa
Psl	Prosula
R	Responsory
Sa	Sanctus
Sec	Oratio secreta
Sq	Sequence
SqV	Sequence verse
Tc	Tract
TcV	Tract verse
Tp	Tropus
V	Responsory verse
Va	Varia
VaHW	Varia within Holy Week
W	Versicle
[?]	Unknown, ambiguous, unidentifiable, illegible
[GV]	Verse for a Mass chant
[G]	Mass chant
[MO]	Mass Ordinary
[M]	Miscellaneous
