siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
CH-Zz Rh.132,,22v,a+01,Sanctorum vita virtus gloria,,,Sq,,ah54036,,,,,,,,,,,,623717
CH-Zz Rh.132,,23v,a+02,Fecunda verbo tu virginum virgo,,,Sq,,ah50265,,,,,,,,,,,,623718
CH-Zz Rh.132,,24r,a+03,Gaude xpi sponsa virgo mater ecclesia,,,Sq,,ah54047,,,,,,,,,,,,623719
CH-Zz Rh.132,,25r,a+04,Caeli enarrant gloriam dei  ... victor mortis nuntians.,,,Sq,,ah50267,,,,,,,,,,,,623720
CH-Zz Rh.132,,26r,a+05,Laus tibi Xpe qui es creator,,,Sq,,ah50268,,,,,,,,,,,,623721
CH-Zz Rh.132,,26v,a+06,Ad celebres rex celice,,,Sq,,ah53190,,,,,,,,,,,,623722
CH-Zz Rh.132,,27v,a+07,Pangamus creatoris atque redemptoris goriam,,,Sq,,ah53046,,,,,,,,,,,,623723
CH-Zz Rh.132,,28r,a+08,Sancti merita benedicti inclita,,,Sq,,ah54035,,,,,,,,,,,,623724
CH-Zz Rh.132,,29r,a+09,Perpes laus et honor tibi summe pastor,,,Sq,,ah53198,,,,,,,,,,,,623725
CH-Zz Rh.132,,30r,a+10,Victime paschali laudes,,,Sq,,ah54007,,,,,,,,,,,,623726
CH-Zz Rh.132,,30v,a+11,Summa laude diem nunc patris Findani,,,Sq,,ah53146,,,,,,,,,,,,623727
CH-Zz Rh.132,,31v,a+12,Laus tibi Xpe patris optimi nate deus,,,Sq,,ah53157,,,,,,,,,,,,623728
CH-Zz Rh.132,,32r,a+13,Grates nunc omnes,,,Sq,,ah53010,,,,,,,,,,,,623729
CH-Zz Rh.132,,32v,b01,Natus ante saecula,,,Sq,,ah53015,,,,,,,,,,,,623730
CH-Zz Rh.132,,33v,b02,Xpi domini militis martyrisque,,,Sq,,ah53216,,,,,,,,,,,,623731
CH-Zz Rh.132,,34v,b03,Festa Stephani protomartyris Xpi,,,Sq,,ah53218,,,,,,,,,,,,623732
