musical_work_id,sacred_or_secular,source_id,contribution_id,VIAF ID,genre_style_@id,genre_style,genre_type,genre_type_@id,url_to_file,contributor_role,contributor_role_@id,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_format_@id,musical_work_variant_titles,file_version,contributor_name,contributor_name_@id
1.0,False,3.0,1.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/2,COMPOSER,https://www.wikidata.org/wiki/Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
1.0,False,3.0,1.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/3,COMPOSER,https://www.wikidata.org/wiki/Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
1.0,False,3.0,1.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/4,COMPOSER,https://www.wikidata.org/wiki/Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
1.0,False,3.0,1.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/1,COMPOSER,https://www.wikidata.org/wiki/Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
1.0,False,3.0,2.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/2,AUTHOR,https://www.wikidata.org/wiki/Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Quanto più desiar sento’l mio core'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
1.0,False,3.0,2.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/3,AUTHOR,https://www.wikidata.org/wiki/Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Quanto più desiar sento’l mio core'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
1.0,False,3.0,2.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/4,AUTHOR,https://www.wikidata.org/wiki/Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Quanto più desiar sento’l mio core'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
1.0,False,3.0,2.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/1,AUTHOR,https://www.wikidata.org/wiki/Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Quanto più desiar sento’l mio core'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
2.0,False,4.0,3.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/6,COMPOSER,https://www.wikidata.org/wiki/Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
2.0,False,4.0,3.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/7,COMPOSER,https://www.wikidata.org/wiki/Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
2.0,False,4.0,3.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/8,COMPOSER,https://www.wikidata.org/wiki/Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
2.0,False,4.0,3.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/5,COMPOSER,https://www.wikidata.org/wiki/Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
2.0,False,4.0,4.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/6,AUTHOR,https://www.wikidata.org/wiki/Q482980,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Si è debile el filo a cui s’attiene'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
2.0,False,4.0,4.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/7,AUTHOR,https://www.wikidata.org/wiki/Q482980,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Si è debile el filo a cui s’attiene'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
2.0,False,4.0,4.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/8,AUTHOR,https://www.wikidata.org/wiki/Q482980,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Si è debile el filo a cui s’attiene'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
2.0,False,4.0,4.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/5,AUTHOR,https://www.wikidata.org/wiki/Q482980,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Si è debile el filo a cui s’attiene'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
3.0,False,5.0,5.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/10,COMPOSER,https://www.wikidata.org/wiki/Q36834,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['De perché in odio m’hai'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
3.0,False,5.0,5.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/11,COMPOSER,https://www.wikidata.org/wiki/Q36834,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['De perché in odio m’hai'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
3.0,False,5.0,5.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/12,COMPOSER,https://www.wikidata.org/wiki/Q36834,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['De perché in odio m’hai'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
3.0,False,5.0,5.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/9,COMPOSER,https://www.wikidata.org/wiki/Q36834,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['De perché in odio m’hai'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
3.0,False,5.0,6.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/10,AUTHOR,https://www.wikidata.org/wiki/Q482980,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['De perché in odio m’hai'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
3.0,False,5.0,6.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/11,AUTHOR,https://www.wikidata.org/wiki/Q482980,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['De perché in odio m’hai'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
3.0,False,5.0,6.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/12,AUTHOR,https://www.wikidata.org/wiki/Q482980,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['De perché in odio m’hai'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
3.0,False,5.0,6.0,,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/9,AUTHOR,https://www.wikidata.org/wiki/Q482980,3.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['De perché in odio m’hai'],,Anonymous ,https://www.wikidata.org/wiki/Q4233718
4.0,False,6.0,7.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/14,COMPOSER,https://www.wikidata.org/wiki/Q36834,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Son io donna qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
4.0,False,6.0,7.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/15,COMPOSER,https://www.wikidata.org/wiki/Q36834,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Son io donna qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
4.0,False,6.0,7.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/16,COMPOSER,https://www.wikidata.org/wiki/Q36834,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Son io donna qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
4.0,False,6.0,7.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/13,COMPOSER,https://www.wikidata.org/wiki/Q36834,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Son io donna qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
