source_id,url_to_file,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_format_@id
1.0,,,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,http://www.proms.ac.uk/ms/82/,,,
2.0,,,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",PRINT,https://docs.google.com/spreadsheets/d/1G1CPeHKjLAIXZPJSuwIOOIoq9BiPm7H97ikBEZ9ayNE/edit#gid=588272074,,,
85.0,https://db.simssa.ca/files/329,1.0,Josquin Research Project,DIGITAL,,sym,.sib,https://www.wikidata.org/wiki/Q27967347
85.0,https://db.simssa.ca/files/337,10.0,Josquin Research Project,DIGITAL,,sym,.sib,https://www.wikidata.org/wiki/Q27967347
85.0,https://db.simssa.ca/files/404,100.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/405,101.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/406,102.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/407,103.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/408,104.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/409,105.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/410,106.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/411,107.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/412,108.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/413,109.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/338,11.0,Josquin Research Project,DIGITAL,,sym,.sib,https://www.wikidata.org/wiki/Q27967347
85.0,https://db.simssa.ca/files/415,111.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/416,112.0,Josquin Research Project,DIGITAL,,sym,.mid,https://www.wikidata.org/wiki/Q10610388
85.0,https://db.simssa.ca/files/417,113.0,Josquin Research Project,DIGITAL,,sym,.pdf,https://www.wikidata.org/wiki/Q42332
85.0,https://db.simssa.ca/files/418,114.0,Josquin Research Project,DIGITAL,,sym,.pdf,https://www.wikidata.org/wiki/Q42332
85.0,https://db.simssa.ca/files/419,115.0,Josquin Research Project,DIGITAL,,sym,.pdf,https://www.wikidata.org/wiki/Q42332
85.0,https://db.simssa.ca/files/420,116.0,Josquin Research Project,DIGITAL,,sym,.pdf,https://www.wikidata.org/wiki/Q42332
