siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
A-Gu 281,,52r,001,Grates nunc omnes,,,Sq,,ah53010,,,,,,,,,,,,629675
A-Gu 281,,52r,002,Eia recolamus ,,,Sq,,ah53016,,,,,,,,,,,,629676
A-Gu 281,,52b,003,Natus ante secula,,,Sq,,ah53015,,,,,,,,,,,,629677
A-Gu 281,,52b,004,Celeste organum hodie sonuit in terra,,,Sq,,ah54001,,,,,,,,,,,,629678
A-Gu 281,,53r,005,Potestate non natura,,,Sq,,ah54096,,,,,,,,,,,,629679
A-Gu 281,,53v,006,Hanc concordi famulatum (sic),,,Sq,,ah53215,,,,,,,,,,,,629680
A-Gu 281,,53v,007,Iohannes ihu xpo,,,Sq,,ah53168,,,,,,,,,,,,629681
A-Gu 281,,54r,008,Verbum dei deo natum,,,Sq,,ah55188,,,,,,,,,,,,629682
A-Gu 281,,54v,009,Laus tibi xpe patris optimi nate ... Quem celitus,,,Sq,,ah53157,,,,,,,,,,,,629683
A-Gu 281,,55r,010,Festa xi omnis xpianitas celebret,,,Sq,,ah53029,,,,,,,,,,,,629684
A-Gu 281,,55v,011,Dixit dns ex basan,,,Sq,,ah50269,,,,,,,,,,,,629685
A-Gu 281,,55v,012,Concentu parili,,,Sq,,508003,,,,,,,,,,,,629686
A-Gu 281,,56r,013,Sanctorum vita virtus gloria,,,Sq,,ah54036,,,,,,,,,,,,629687
A-Gu 281,,56v,014,Verbum bonum et suave,,,Sq,,ah54218,,,,,,,,,,,,629688
A-Gu 281,,57r,015,Mitit ad virginem,,,Sq,,ah54191,,,,,,,,,,,,629689
A-Gu 281,,57r,016,Missus Gabriel de celis,,,Sq,,ah54192,,,,,,,,,,,,629690
A-Gu 281,,57v,017,Laudes salvatori,,,Sq,,ah53036,,,,,,,,,,,,629691
A-Gu 281,,58r,018,Pangamus creatoris atque redemptoris gloriam,,,Sq,,ah53046,,,,,,,,,,,,629692
A-Gu 281,,58v,019,Agni paschalis esu,,,Sq,,ah53050,,,,,,,,,,,,629693
A-Gu 281,,59r,020,Grates salvatori ac regi,,,Sq,,ah53052,,,,,,,,,,,,629694
A-Gu 281,,59r,021,Mane prima sabbati,,,Sq,,ah54143,,,,,,,,,,,,629695
A-Gu 281,,59v,022,Hec est sancta sollempnitas,,,Sq,,ah53056,,,,,,,,,,,,629696
A-Gu 281,,59v,023,Rex deus dei agne leo iuda magne,,,Sq,,ah50240,,,,,,,,,,,,629697
A-Gu 281,,60r,024,Victime paschali laudes,,,Sq,,ah54007,,,,,,,,,,,,629698
A-Gu 281,,60v,025,Regina caelorum gaude,,,Sq,,ah10098,,,,,,,,,,,,629699
A-Gu 281,,60v,026,Ave plena gratie mater misericordie,,,Sq,,ah54223,,,,,,,,,,,,629700
A-Gu 281,,61r,027,Summi triumphum regis,,,Sq,,ah53067,,,,,,,,,,,,629701
A-Gu 281,,61v,028,Sancti spiritus assit nobis gratia,,,Sq,,ah53070,,,,,,,,,,,,629702
A-Gu 281,,61v,029,Laude celeberrima,,,Sq,,ah53072,,,,,,,,,,,,629703
A-Gu 281,,62r,030,Veni sancte spiritus,,,Sq,,ah54153,,,,,,,,,,,,629704
A-Gu 281,,62v,031,Benedictio summe trinitati,,,Sq,,ah50243,,,,,,,,,,,,629705
A-Gu 281,,63r,032,Benedicta semper sancta sit trinitas,,,Sq,,ah53081,,,,,,,,,,,,629706
A-Gu 281,,63r,033,Gloria tibi trinitas cuius larga nos bonitas,,,Sq,,ah09001,,,,,,,,,,,,629707
A-Gu 281,,63v,034,Laus patri glorie qui suum filium gentibus ,,,Sq,,508003,,,,,,,,,,,,629708
A-Gu 281,,63v,035,Sancti baptiste xpi preconis,,,Sq,,ah53163,,,,,,,,,,,,629709
A-Gu 281,,63v,036,Petre summe xpi pastor,,,Sq,,ah53210,,,,,,,,,,,,629710
A-Gu 281,,64r,037,"Laus tibi sit xpe, fili dei unigenite",,,Sq,,ah10325,,,,,,,,,,,,629711
A-Gu 281,,64r,038,Celi enarrant gloriam dei,,,Sq,,ah50267,,,,,,,,,,,,629712
A-Gu 281,,65r,039,Laus tibi xpe qui es creator et redemptor,,,Sq,,ah50268,,,,,,,,,,,,629713
A-Gu 281,,65v,040,Grates deo et honor sint per secla,,,Sq,,ah53119,,,,,,,,,,,,629714
A-Gu 281,,66r,041,Gloriosa fulget dies exultet ecclesia,,,Sq,,ah54089,,,,,,,,,,,,629715
A-Gu 281,,66r,042,Laurenti David magni,,,Sq,,ah53173,,,,,,,,,,,,629716
A-Gu 281,,66v,043,Congaudent angelorum chori,,,Sq,,ah53104,,,,,,,,,,,,629717
A-Gu 281,,67r,044,Huius diei gaudia devotio catholica,,,Sq,,,,,,,,,,,,,,629718
A-Gu 281,,67r,045,Psallite regi regum domino psallite psallite,,,Sq,,ah50270,,,,,,,,,,,,629719
A-Gu 281,,67v,046,Confessor piusque sacer  Egidius,,,Sq,,ah10155,,,,,,,,,,,,629720
A-Gu 281,,68r,047,Stirpe Maria regia,,,Sq,,ah53095,,,,,,,,,,,,629721
A-Gu 281,,68r,048,Magnificet confessio atque pulchritudo,,,Sq,,ah50277,,,,,,,,,,,,629722
A-Gu 281,,68v,049,In deum vivum exultet,,,Sq,,ah50285,,,,,,,,,,,,629723
A-Gu 281,,69r,050,Xpe genitoris et spc sci gloria,,,Sq,,ah53214,,,,,,,,,,,,629724
A-Gu 281,,69v,051,Ad celebres rex celice,,,Sq,,ah53190,,,,,,,,,,,,629725
A-Gu 281,,70r,052,Omnes sancti seraphin,,,Sq,,ah53112,,,,,,,,,,,,629726
A-Gu 281,,70r,053,Sancta dei mater virgo benigna Maria,,,Sq,,ah34173,,,,,,,,,,,,629727
A-Gu 281,,70v,054,Sacerdotem xpi martinum,,,Sq,,ah53181,,,,,,,,,,,,629728
A-Gu 281,,70v,055,Salve nobilis regina regis sponsa,,,Sq,,ah55205,,,,,,,,,,,,629729
A-Gu 281,,71r,056,Sanctissime virginis votiva vesta recolamus,,,Sq,,ah55203,,,,,,,,,,,,629730
A-Gu 281,,71r,057,Deus in tua virtute,,,Sq,,ah53122,,,,,,,,,,,,629731
A-Gu 281,,71v,058,Laude xpo debita celebremus inclita,,,Sq,,ah55265,,,,,,,,,,,,629732
A-Gu 281,,72r,059,Psallat ecclesia,,,Sq,,ah53247,,,,,,,,,,,,629733
A-Gu 281,,72r,060,Clare sanctorum senatus,,,Sq,,ah53228,,,,,,,,,,,,629734
A-Gu 281,,72v,061,Plausu chorus letabundo,,,Sq,,ah55006,,,,,,,,,,,,629735
A-Gu 281,,72v,062,Gaude syon quod egressus,,,Sq,,ah55120,,,,,,,,,,,,629736
A-Gu 281,,73r,063,Agone triumphali,,,Sq,,ah53229,,,,,,,,,,,,629737
A-Gu 281,,73r,064,Quid to virgo mater ploras,,,Sq,,ah53239,,,,,,,,,,,,629738
A-Gu 281,,73v,065,Rex regum deus noster colende,,,Sq,,ah53243,,,,,,,,,,,,629739
A-Gu 281,,73v,066,Exultent filie syon in rege suo,,,Sq,,ah50271,,,,,,,,,,,,629740
A-Gu 281,,74r,067,Grates honor yerarchia,,,Sq,,ah50239,,,,,,,,,,,,629741
A-Gu 281,,74v,068,Serpens antiquus vicit in ligno,,,Sq,,ah50278,,,,,,,,,,,,629742
A-Gu 281,,75r,069,Dulce lignum lignum vite,,,Sq,,ah08026,,,,,,,,,,,,629743
A-Gu 281,,75v,070,Salve crux sancta arbor digna,,,Sq,,ah53082,,,,,,,,,,,,629744
A-Gu 281,,75v,071,Nunc crucis alma cantat gaudia,,,Sq,,ah53083,,,,,,,,,,,,629745
A-Gu 281,,76r,072,Alma chorus domini nunc pangat,,,Sq,,ah53087,,,,,,,,,,,,629746
A-Gu 281,,76r,073,Ave preclara maris stella,,,Sq,,ah50241,,,,,,,,,,,,629747
A-Gu 281,,76v,074,Hodierne lux diei celebris in matris dei,,,Sq,,ah54219,,,,,,,,,,,,629748
A-Gu 281,,77r,075,Caste matris ante thronum,,,Sq,,ah10119,,,,,,,,,,,,629749
A-Gu 281,,77r,076,Gaude mater luminis quam divini numinis,,,Sq,,ah54225,,,,,,,,,,,,629750
A-Gu 281,,77v,077,Letabundus exultet ... Regem regum,,,Sq,,ah54002,,,,,,,,,,,,629751
A-Gu 281,,77v,078,Salve mater salvatoris vas electum,,,Sq,,ah54245,,,,,,,,,,,,629752
A-Gu 281,,78r,079,Veni virgo virginum,,,Sq,,ah54250,,,,,,,,,,,,629753
A-Gu 281,,78v,080,Mundi renovatio nova parit gaudia,,,Sq,,ah54148,,,,,,,,,,,,629754
A-Gu 281,,79r,081,Virgine mariae laude immolent xpiani,,,Sq,,ah54019,,,,,,,,,,,,629755
A-Gu 281,,79r,082,Resurgenti tuo nato mater plaude ,,,Sq,,ah54229,,,,,,,,,,,,629756
A-Gu 281,,79r,083,Gaude gemma praelatorum Consolator peccatorum,,,Sq,,ah44305,,,,,,,,,,,,629757
A-Gu 281,,79v,084,Ante thronum maiestatis laus divine potestatis,,,Sq,,ah09387,,,,,,,,,,,,629758
