RISM,WikiData
https://rism.online/institutions/26,Q799084
https://rism.online/institutions/74,Q315658
https://rism.online/institutions/172,Q50059113
https://rism.online/institutions/331,Q170109
https://rism.online/institutions/388,Q584017
https://rism.online/institutions/2052,Q521789
https://rism.online/institutions/4819,Q2156263
https://rism.online/institutions/10303,Q16031715
https://rism.online/institutions/10800,Q217595
https://rism.online/institutions/13373,Q536259
https://rism.online/institutions/15324,Q510208
https://rism.online/institutions/18550,Q55853538
https://rism.online/institutions/18781,Q2572062
https://rism.online/institutions/20734,Q30414440
https://rism.online/institutions/21337,Q2649559
https://rism.online/institutions/23042,Q694323
https://rism.online/institutions/24127,Q834648
https://rism.online/institutions/28586,Q15919379
https://rism.online/institutions/30494,Q3093066
https://rism.online/institutions/31351,Q1285325
https://rism.online/institutions/31602,Q2514673
https://rism.online/institutions/32224,Q6373
https://rism.online/institutions/33704,Q25392680
https://rism.online/institutions/35588,Q127097
https://rism.online/institutions/35594,Q2156263
https://rism.online/institutions/35957,Q72938284
https://rism.online/institutions/37160,Q1868123
https://rism.online/institutions/39292,Q156515
https://rism.online/institutions/39304,Q3603932
https://rism.online/institutions/39888,Q23565
https://rism.online/institutions/40535,Q2437818
https://rism.online/institutions/40859,Q1411264
https://rism.online/institutions/40963,Q1348464
https://rism.online/institutions/41114,Q55676405
https://rism.online/institutions/41814,Q253359
https://rism.online/institutions/42093,Q314466
https://rism.online/institutions/46340,Q2516698
https://rism.online/institutions/46976,Q277380
https://rism.online/institutions/49444,Q683865
https://rism.online/institutions/49711,Q1468453
https://rism.online/institutions/52131,Q1019662
https://rism.online/institutions/54038,Q85355
https://rism.online/institutions/57814,Q1125387
https://rism.online/institutions/58191,Q1664932
https://rism.online/institutions/62111,Q374336
https://rism.online/institutions/62778,Q98630166
https://rism.online/institutions/63275,Q877699
https://rism.online/institutions/63286,Q512614
https://rism.online/institutions/63378,Q19675
https://rism.online/institutions/64032,Q1582360
https://rism.online/institutions/64697,Q446987
https://rism.online/institutions/65625,Q338372
https://rism.online/institutions/66581,Q1226101
https://rism.online/institutions/66700,Q36188
https://rism.online/institutions/68320,Q473334
https://rism.online/institutions/68332,Q1601342
https://rism.online/institutions/69446,Q832101
https://rism.online/institutions/69462,Q1461605
https://rism.online/institutions/69473,Q2530221
https://rism.online/institutions/69819,Q1601032
https://rism.online/institutions/70004,Q113577989
https://rism.online/institutions/70110,Q1619829
https://rism.online/institutions/70166,Q1666780
https://rism.online/institutions/71159,Q451462
https://rism.online/institutions/71553,Q15732954
https://rism.online/institutions/77274,Q14550958
https://rism.online/institutions/77767,Q276846
https://rism.online/institutions/77956,Q2032669
https://rism.online/institutions/78343,Q104876109
https://rism.online/institutions/78931,Q588576
https://rism.online/institutions/79175,Q896837
https://rism.online/institutions/79401,Q1582360
https://rism.online/institutions/79871,Q18026206
https://rism.online/institutions/79967,Q871369
https://rism.online/institutions/79992,Q15732954
https://rism.online/institutions/80005,Q125019578
https://rism.online/institutions/83652,Q167619
https://rism.online/institutions/20000004,Q170123
https://rism.online/institutions/20000008,Q467407
https://rism.online/institutions/20000037,Q836874
https://rism.online/institutions/30000000,Q2178828
https://rism.online/institutions/30000003,Q683842
https://rism.online/institutions/30000004,Q201787
https://rism.online/institutions/30000006,Q125072234
https://rism.online/institutions/30000014,Q190260
