instrument_id,type-id,disambiguation,description,annotation,name,type,relations_wiki,genres_id
https://musicbrainz.org/instrument/9c48582f-f54f-4d08-ac3a-bb3520d3df09,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,,,,aeolian harp,String instrument,https://www.wikidata.org/wiki/Q255358,
https://musicbrainz.org/instrument/9c977091-b27a-4a0e-b54e-b5ab89420e22,876464a8-e74f-3f40-9bd3-637d2b1743ae,Middle member of the saxophone family,"The most common member of the saxophone family, it is the alto member.",,alto saxophone,Wind instrument,https://www.wikidata.org/wiki/Q445275,
https://musicbrainz.org/instrument/73ab72a3-039d-422a-8ce8-a0f8211bd022,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,,The gayageum is a traditional Korean zither-like string instrument which normally has 12 strings.,,gayageum,String instrument,https://www.wikidata.org/wiki/Q717407,
https://musicbrainz.org/instrument/540280f1-d6cf-46bf-968b-695e99e216d7,876464a8-e74f-3f40-9bd3-637d2b1743ae,reedless aerophone,"Reedless aerophone, usually a tube.",,flute,Wind instrument,https://www.wikidata.org/wiki/Q11405,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778
https://musicbrainz.org/instrument/69de43e4-1d92-4b65-8c63-2f9daf485f81,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,Medieval violin,,,vielle,String instrument,https://www.wikidata.org/wiki/Q843679,https://musicbrainz.org/genre/4fc769b7-acac-4061-9129-ee8c6875b4c3
https://musicbrainz.org/instrument/6bf88fc7-a235-4d95-a910-a4ce4a4853c6,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,,,,banjo,String instrument,https://www.wikidata.org/wiki/Q258896,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778
https://musicbrainz.org/instrument/37fa9bb5-d5d7-4b0f-aa4d-531339ba9c32,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,,,,mandolin,String instrument,https://www.wikidata.org/wiki/Q302497,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778
https://musicbrainz.org/instrument/37fa9bb5-d5d7-4b0f-aa4d-531339ba9c32,,,,,,,,https://musicbrainz.org/genre/a91eed3a-fdd0-494e-ade0-95ea4117f6eb
https://musicbrainz.org/instrument/f12c315c-317c-45d3-9dc0-c703d6486e40,cc00f97f-cf3d-3ae2-9163-041cb1a0d726,,,,crwth,String instrument,https://www.wikidata.org/wiki/Q766461,
https://musicbrainz.org/instrument/5318ae3e-fb33-4187-a1a1-1df9a59930f8,876464a8-e74f-3f40-9bd3-637d2b1743ae,,,,bassoon,Wind instrument,https://www.wikidata.org/wiki/Q159998,
