,http://uri.gbv.de/ontology/daia/label,http://purl.org/ontology/mo/lyrics,http://purl.org/ontology/mo/arrangement_of,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/terms/extent,http://d-nb.info/standards/elementset/gnd#formerOwner,http://purl.org/ontology/mo/key,http://rdvocab.info/Elements/otherTitleInformation,http://bsb-muenchen.de/ont/bsbMusicOntology#incipit,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/terms/format,http://purl.org/dc/terms/issued,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/description,http://purl.org/ontology/mo/catalogue_number
http://data.rism.info/id/rismid/000051650#ex-ks30002202-M120161,M.120.16 (1),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051755#ex-ks30002351-Ma21Y11A23LM4941,Ma21.Y11.A23 (LM 4941),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051662#ex-ks30002202-M120173,M.120.17 (3),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051759#ex-ks30002351-Ma21Y11A23LM4941,Ma21.Y11.A23 (LM 4941),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051756#ex-ks30002351-Ma21Y11A23LM4941,Ma21.Y11.A23 (LM 4941),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051654#ex-ks30002202-M120165,M.120.16 (5),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051758#ex-ks30002351-Ma21Y11A23LM4941,Ma21.Y11.A23 (LM 4941),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051657#ex-ks30002202-M120168,M.120.16 (8),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051656#ex-ks30002202-M120167,M.120.16 (7),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051649#ex-ks30002202-M1201619,M.120.16 (1-9),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051660#ex-ks30002202-M120171,M.120.17 (1),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051757#ex-ks30002351-Ma21Y11A23LM4941,Ma21.Y11.A23 (LM 4941),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051655#ex-ks30002202-M120166,M.120.16 (6),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051658#ex-ks30002202-M120169,M.120.16 (9),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051665#ex-ks30002202-M1201767,M.120.17 (6-7),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051664#ex-ks30002202-M120175,M.120.17 (5),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051663#ex-ks30002202-M120174,M.120.17 (4),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051652#ex-ks30002202-M120163,M.120.16 (3),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051659#ex-ks30002202-M1201717,M.120.17 (1-7),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051661#ex-ks30002202-M120172,M.120.17 (2),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051653#ex-ks30002202-M120164,M.120.16 (4),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051651#ex-ks30002202-M120162,M.120.16 (2),,,,,,,,,,,,,,,
http://data.rism.info/id/rismid/000051653,,Ma troverò l'indegno,"S, B, vl (2), vla, b, fag, cor (2), tr (2)","Brown, Allen A.",score: 32f.,"Brown, Allen A.",true,true,1(-)/''2E'4.B8G/4EE2(-)/=2/''2F4.D'8B/4AA2(-)/,Operas,23 x 30 cm,1817 (1817p),000051653,Adelaide maritata. Excerpts,,
http://data.rism.info/id/rismid/000051663,,E così tratta il padre,"T, orch","Petrosellini, Giuseppe",score: 18f.,,true,false,"=/2-4-'8.D6D/4D,A4.A'8D/,4BB-8.B6B/4.B8B'4D",Operas,"23,5 x 29,5 cm",1773 (1773p),000051663,L’incognita perseguitata. Excerpts,score with 36p.,
http://data.rism.info/id/rismid/000051664,,Berenice che fai,"S, orch","Belair, F. L. Henry de",score: 20f.,"Belair, F. L. Henry de",true,true,=3/4-'8GG''4C8C'B/''CC4-C8CE/CC4-6.C3C8C6-CC'xF/,Operas,23 x 30 cm,1773 (1773p),000051664,Antigono. Excerpts,,
http://data.rism.info/id/rismid/000051658,,Donne-la moi dans nos adieux,"S, B, vl (2), vla, b, fl (2), cor","Re, Madame Jacques",score: 14f.,"Re, Madame Jacques",true,true,=7/''2C8FD/4C8-CDC/'4B8-B''C'B/4B8A-''8.C'6A/,Opéra-ballets,"21 x 26,5 cm",1772 (1772p),000051658,Céphale et Procris. Excerpts,f.2 contains an orchestra sketch of 6 measures,
http://data.rism.info/id/rismid/000051661,,Minaccia avverso il fato,"S, orch","Stolze, J. B.",score: 24f.,"Stolze, J. B.",true,false,'8F/2.B''8{ED}/2.D8{GF}/4F6-{FGA}{BFFF}{'''C''FFF}/,Operas,"22,5 x 29 cm",1800-1824 (19.1q),000051661,Quinto Fabio. Excerpts,"At head of title: ""Poss. J. B. Stolze. 1820""",
http://data.rism.info/id/rismid/000051657,,Al mio spirito dal seno disciolto,"S, vl (2), violetta, b, ob (2), fag, cor","Metastasio, Pietro",score: 10f.,"Brown, Allen A.",true,true,=11/2-''4DD/2G4DC/'2B4AG/''2.C8{DE}/4D,Operas,22 x 29 cm,1752 (1752p),000051657,La clemenza di Tito. Excerpts,Contains 20p.,litwotg 1a.16/43
http://data.rism.info/id/rismid/000051654,,Quel chiaro rivo e placido,"S, strings","Brown, Allen A.",4 parts,"Brown, Allen A.",true,false,=13/2-4-''F/'BBBB/''2.C8{DE}/2.D4F/,Operas,"22 x 29,5 cm",1800-1824 (19.1q),000051654,Enrico. Excerpts,"Score: at head of f.1: ""Del Sig: r Galuppi detto Burandello""",
http://data.rism.info/id/rismid/000051650,,Padre con quest'amplesso,"S, vl (2), b, cor (2)","Brown, Allen A.",3 parts,"Brown, Allen A.",true,false,''4B8{EB'''C''B}/{AA}6-{AGA}{BAGA}/,Arias (voc.),"21,5 x 26,5 cm",1742 (1742p),000051650,Tito Manlio. Excerpts,other parts missing,
http://data.rism.info/id/rismid/000051652,,Tu che di tigre ircana,"S, vl (2), vla solo, vla, b, ob (2), cl (2), cor (2)","Brown, Allen A.",score: 23f.,"Brown, Allen A.",true,true,=4/2-'8G6GG8GnA/nBB-BBBnAB/4G,Operas,23 x 29 cm,1817 (1817p),000051652,Adelaide maritata. Excerpts,,
http://data.rism.info/id/rismid/000051660,,Sposo Timante,"S (2), strings, cor (2)",,score (incpl): 4f.,,true,false,''8.F6D/'4B8-BB''D/CC-CCE/DD4-8.D6F/q8F4.E,Duets (voc.),"23 x 29,5 cm",1800-1824 (19.1q),000051660,Lascia pur ch'io vada a morte,,
