Artist,artist_wiki,instance of,inception,country of citizenship,date of birth,work period (start)
Matt Cunningham,,,,,,
The Chieftains,http://www.wikidata.org/entity/Q662577,musical group,1963,,,
Battlefield Band,http://www.wikidata.org/entity/Q811015,musical group,1969,,,
The Boys of the Lough,http://www.wikidata.org/entity/Q896059,musical group,1970,,,
Jimmy Shand,http://www.wikidata.org/entity/Q6201257,human,,United Kingdom,28-Jan-08,
Altan,http://www.wikidata.org/entity/Q434372,musical group,1987,,,
Natalie MacMaster,http://www.wikidata.org/entity/Q6968206,human,,Canada,13-Jun-72,
Ceoltóirí Cultúrlainne,,,,,,
Cherish the Ladies,http://www.wikidata.org/entity/Q783991,musical group,1985,,,
Jerry Holland,http://www.wikidata.org/entity/Q6183761,human,,Canada,23-Feb-55,
The Tannahill Weavers,http://www.wikidata.org/entity/Q224645,musical group,1968,...,,
Howie MacDonald,http://www.wikidata.org/entity/Q35489573,human,,,...,
Shaskeen,http://www.wikidata.org/entity/Q7490578,musical group,,,,
Old Blind Dogs,http://www.wikidata.org/entity/Q1271501,musical group,,,,1990
De Dannan,http://www.wikidata.org/entity/Q1179823,musical group,1974,,,...
Dervish,http://www.wikidata.org/entity/Q841481,musical group,1989,,,
Capercaillie,http://www.wikidata.org/entity/Q1034596,...,...,,,
The Dubliners,http://www.wikidata.org/entity/Q478629,,,,,
Steeleye Span,http://www.wikidata.org/entity/Q1413921,,,,,
The Kilfenora Céilí Band,http://www.wikidata.org/entity/Q3521471,,,,,
J.J. Sheridan,,,,,,
Lúnasa,http://www.wikidata.org/entity/Q1509651,,,,,
Winston Fitzgerald,http://www.wikidata.org/entity/Q8026083,,,,,
Sean McGuire,http://www.wikidata.org/entity/Q7441238,,,,,
Blazin' Fiddles,http://www.wikidata.org/entity/Q4925652,,,,,
Silly Wizard,http://www.wikidata.org/entity/Q179221,,,,,
Kevin Burke,http://www.wikidata.org/entity/Q2061806,,,,,
Sharon Shannon,http://www.wikidata.org/entity/Q457684,,,,,
Ron Gonnella,,,,,,
